reconstruction_loss,quantization_name,beta,in_features,codebook_size,influence,lifetime,influence_decay,research_mode,val/MSELoss,val/codebook_entropy,val/loss_commitment,val/loss_codebook,best/MSELoss,best/codebook_entropy,best/loss_commitment,best/loss_codebook
MSELoss,Lightning_GVQ_VAE_codebook_loss,0.25,16.0,256.0,0.25,None,constant,1.0,0.0035165136214345694,5.414829254150391,0.005396104417741299,0.0003486505593173206,0.0034702776465564966,5.413697719573975,0.0054272934794425964,0.00035067443968728185
MSELoss,Lightning_GVQ_VAE_codebook_loss,0.5,16.0,256.0,0.25,None,constant,1.0,0.00472654402256012,4.870425701141357,0.002254004590213299,0.0001465277309762314,0.00389887229539454,4.882672309875488,0.0020295085851103067,0.00013205881987232715
MSELoss,Lightning_GVQ_VAE_codebook_loss,1.0,16.0,256.0,0.25,None,constant,1.0,0.004222560673952103,4.487299919128418,0.0011664980556815863,7.593241753056645e-05,0.004157868679612875,4.494545936584473,0.001253195689059794,8.151877409545705e-05
MSELoss,Lightning_GVQ_VAE_codebook_loss,0.25,16.0,256.0,0.25,None,cos,1.0,0.003700973466038704,5.424732208251953,0.0032748961821198463,0.00021300728258211166,0.003617791226133704,5.406999111175537,0.0031654597260057926,0.00020587306062225252
MSELoss,Lightning_GVQ_VAE_codebook_loss,0.5,16.0,256.0,0.25,None,cos,1.0,0.0040805162861943245,4.889308929443359,0.002082986058667302,0.00013552888412959874,0.003917695488780737,4.870782852172852,0.0020798444747924805,0.00013532165030483156
MSELoss,Lightning_GVQ_VAE_codebook_loss,1.0,16.0,256.0,0.25,None,cos,1.0,0.00416737562045455,4.533893585205078,0.0011822707019746304,7.693888619542122e-05,0.004128113389015198,4.511809349060059,0.001163495471701026,7.573665789095685e-05
MSELoss,Lightning_GVQ_VAE_codebook_loss,0.25,16.0,256.0,0.25,None,linear,1.0,0.0037433025427162647,5.410798072814941,0.003199515165761113,0.0002081566781271249,0.003600653726607561,5.410624027252197,0.0032385706435889006,0.00021065212786197662
MSELoss,Lightning_GVQ_VAE_codebook_loss,0.5,16.0,256.0,0.25,None,linear,1.0,0.003953689243644476,4.826604843139648,0.0021017228718847036,0.00013674591900780797,0.003919282928109169,4.809244155883789,0.0020030555315315723,0.00013038291945122182
MSELoss,Lightning_GVQ_VAE_codebook_loss,1.0,16.0,256.0,0.25,None,linear,1.0,0.004300503991544247,4.509964942932129,0.0012419710401445627,8.082306158030406e-05,0.004192408639937639,4.491983890533447,0.0012629249831661582,8.216319110943004e-05
MSELoss,Lightning_GVQ_VAE_codebook_loss,0.25,16.0,256.0,0.5,None,constant,1.0,0.0036330462899059057,5.432456970214844,0.005215718410909176,0.000419487216277048,0.0034598924685269594,5.414956092834473,0.00510964822024107,0.0004115344781894237
MSELoss,Lightning_GVQ_VAE_codebook_loss,0.5,16.0,256.0,0.5,None,constant,1.0,0.0037879962474107742,5.180800437927246,0.0017296121222898364,0.0001464029774069786,0.0037340063136070967,5.162396430969238,0.0016492160502821207,0.0001399461179971695
