reconstruction_loss,quantization_name,beta,in_features,codebook_size,influence,lifetime,influence_decay,research_mode,val/MultiscaleSpectralLossL1,val/codebook_entropy,val/loss_commitment,val/loss_codebook,best/MultiscaleSpectralLossL1,best/codebook_entropy,best/loss_commitment,best/loss_codebook
MultiscaleSpectralLossL1,Lightning_GVQ_VAE_codebook_loss,0.1,16.0,512.0,0.5,None,constant,1.0,170951.125,1.4325485229492188,25110230.0,907533.5,98487.6015625,1.9097262620925903,58970592.0,2131287.5
MultiscaleSpectralLossL1,Lightning_GVQ_VAE_codebook_loss,0.25,16.0,512.0,0.5,None,constant,1.0,93447.90625,2.0161361694335938,1380987.75,49917.7109375,92924.3046875,1.9670164585113525,1384684.375,50052.1640625
MultiscaleSpectralLossL1,Lightning_GVQ_VAE_codebook_loss,0.5,16.0,512.0,0.5,None,constant,1.0,108764.8046875,1.806543231010437,782918.0625,28308.640625,100108.078125,2.1745498180389404,1706136.375,61668.0390625
MultiscaleSpectralLossL1,Lightning_GVQ_VAE_codebook_loss,0.1,16.0,512.0,0.5,None,cos,1.0,151791.578125,1.3166142702102661,47451448.0,1715052.25,91054.9453125,2.5661063194274902,45824984.0,1656233.5
MultiscaleSpectralLossL1,Lightning_GVQ_VAE_codebook_loss,0.25,16.0,512.0,0.5,None,cos,1.0,142774.53125,1.748174786567688,3107410.5,112324.9375,91534.71875,2.2719404697418213,13875424.0,501493.8125
MultiscaleSpectralLossL1,Lightning_GVQ_VAE_codebook_loss,0.5,16.0,512.0,0.5,None,cos,1.0,133535.890625,1.7588895559310913,279149.0625,10096.2919921875,102115.65625,1.9787293672561646,1318733.0,47665.4296875
MultiscaleSpectralLossL1,Lightning_GVQ_VAE_codebook_loss,0.1,16.0,512.0,0.5,None,linear,1.0,116073.953125,1.8491179943084717,9395533.0,339591.1875,96288.2109375,1.8279317617416382,16399047.0,592706.0
MultiscaleSpectralLossL1,Lightning_GVQ_VAE_codebook_loss,0.25,16.0,512.0,0.5,None,linear,1.0,95519.2734375,2.067301034927368,2118231.0,76582.4609375,95259.8125,2.2130281925201416,8061614.0,291373.59375
MultiscaleSpectralLossL1,Lightning_GVQ_VAE_codebook_loss,0.5,16.0,512.0,0.5,None,linear,1.0,148887.1875,1.788650631904602,435418.875,15741.6142578125,102837.5,1.8388797044754028,3151229.25,113895.015625
MultiscaleSpectralLossL1,Lightning_GVQ_VAE_codebook_loss,0.1,16.0,512.0,1.0,None,constant,1.0,98174.765625,2.267561435699463,48845860.0,2414901.25,98174.765625,2.267561435699463,48845860.0,2414901.25
MultiscaleSpectralLossL1,Lightning_GVQ_VAE_codebook_loss,0.25,16.0,512.0,1.0,None,constant,1.0,154236.125,2.373990297317505,4716740.0,233246.15625,106677.953125,2.221081495285034,11506777.0,568916.25
