reconstruction_loss,quantization_name,beta,in_features,codebook_size,decay,research_mode,val/MultiscaleSpectralLossL1,val/codebook_entropy,val/loss_commitment,val/loss_codebook,test/MultiscaleSpectralLossL1,test/codebook_entropy,test/loss_commitment,test/loss_codebook,best/MultiscaleSpectralLossL1,best/codebook_entropy,best/loss_commitment,best/loss_codebook
MultiscaleSpectralLossL1,Lightning_GVQ_VAE_codebook_loss,0.25,1.0,1024.0,,1.0,101471.375,5.642116546630859,12751.4677734375,31.656333923339844,83294.59375,6.381359100341797,21482.546875,53.326229095458984,83732.0703125,6.368655204772949,25732.892578125,63.8745231628418
MultiscaleSpectralLossL1,Lightning_GVQ_VAE_codebook_loss,0.25,128.0,1024.0,,1.0,113085.0546875,2.4773612022399902,10010986.0,3180589.75,109633.1875,2.216052532196045,58926776.0,18720908.0,109960.1875,2.1804022789001465,69735432.0,22154686.0
MultiscaleSpectralLossL1,Lightning_GVQ_VAE_codebook_loss,0.25,16.0,1024.0,,1.0,106723.8828125,2.6819140911102295,3395246.5,134876.109375,89957.78125,2.8074252605438232,6917748.5,274745.84375,90196.25,2.8110544681549072,6294852.5,250009.75
MultiscaleSpectralLossL1,Lightning_GVQ_VAE_codebook_loss,0.25,2.0,1024.0,,1.0,131478.984375,1.3655040264129639,25289772.0,125550.375,96081.2890625,1.8181647062301636,24153366.0,119913.9609375,96979.0234375,1.8165318965911865,39017036.0,193695.96875
MultiscaleSpectralLossL1,Lightning_GVQ_VAE_codebook_loss,0.25,32.0,1024.0,,1.0,117770.3828125,2.065840482711792,5630473.0,447341.625,99224.8828125,2.62676739692688,1990587.625,158119.46875,99149.1484375,2.5891897678375244,2087549.5,165820.6875
MultiscaleSpectralLossL1,Lightning_GVQ_VAE_codebook_loss,0.25,4.0,1024.0,,1.0,108445.6484375,2.2407474517822266,2558709.5,25412.466796875,101791.8828125,2.2915408611297607,5218853.0,51821.1875,101972.296875,2.2555253505706787,5091240.0,50554.16796875
MultiscaleSpectralLossL1,Lightning_GVQ_VAE_codebook_loss,0.25,64.0,1024.0,,1.0,140325.046875,2.1500494480133057,1702890.875,270713.75,102218.3984375,3.099592447280884,31993798.0,5082262.0,101717.953125,3.108361005783081,28246446.0,4487015.5
MultiscaleSpectralLossL1,Lightning_GVQ_VAE_codebook_loss,0.25,8.0,1024.0,,1.0,141053.734375,1.6805706024169922,4865651.0,96657.46875,91315.71875,2.463663101196289,10060722.0,199791.171875,91320.0390625,2.5016629695892334,9226342.0,183225.578125
MultiscaleSpectralLossL1,Lightning_GVQ_VAE_codebook_loss,0.25,1.0,256.0,,1.0,124037.828125,4.352962970733643,5816.9609375,57.75359344482422,99447.09375,3.9768378734588623,660483.9375,6557.212890625,98713.109375,3.984818458557129,605942.625,6015.73681640625
MultiscaleSpectralLossL1,Lightning_GVQ_VAE_codebook_loss,0.25,128.0,256.0,,1.0,131103.453125,2.1861517429351807,13851335.0,17604700.0,101367.640625,1.5363922119140625,25673460.0,32629354.0,101562.203125,1.5238943099975586,23468020.0,29826610.0
MultiscaleSpectralLossL1,Lightning_GVQ_VAE_codebook_loss,0.25,16.0,256.0,,1.0,166237.734375,0.8552138805389404,86498632.0,13740386.0,101533.328125,2.0781209468841553,438262368.0,69616120.0,102006.234375,2.0668177604675293,437088064.0,69429592.0
MultiscaleSpectralLossL1,Lightning_GVQ_VAE_codebook_loss,0.25,2.0,256.0,,1.0,162897.71875,2.144131898880005,2103757.5,41789.08203125,97232.65625,2.7342257499694824,17178638.0,341106.3125,98352.34375,2.709995746612549,16210561.0,321883.9375
MultiscaleSpectralLossL1,Lightning_GVQ_VAE_codebook_loss,0.25,32.0,256.0,,1.0,156595.046875,1.6848565340042114,6755294.5,2147345.0,96202.671875,2.9304401874542236,5567026.0,1769143.25,95965.5625,2.9600915908813477,5275135.0,1676400.125
MultiscaleSpectralLossL1,Lightning_GVQ_VAE_codebook_loss,0.25,4.0,256.0,,1.0,147520.046875,2.567460775375366,2776960.5,110356.71875,88646.421875,2.758549451828003,2769688.75,110055.703125,88504.8828125,2.7508766651153564,2780966.25,110502.5234375
MultiscaleSpectralLossL1,Lightning_GVQ_VAE_codebook_loss,0.25,64.0,256.0,,1.0,139231.890625,2.055867910385132,9827955.0,6245437.0,110166.9453125,2.3192012310028076,16534656.0,10506483.0,110481.21875,2.2858245372772217,15992341.0,10161913.0
MultiscaleSpectralLossL1,Lightning_GVQ_VAE_codebook_loss,0.25,8.0,256.0,,1.0,90557.875,2.877533435821533,2260328.0,179732.6875,90386.140625,2.899247646331787,2484619.0,197552.75,90557.875,2.877533435821533,2260328.0,179732.6875
MultiscaleSpectralLossL1,Lightning_GVQ_VAE_codebook_loss,0.25,1.0,512.0,,1.0,114428.8046875,5.338422775268555,0.025902891531586647,0.0001340349845122546,80258.5078125,5.765006065368652,1.535165548324585,0.007651126012206078,79453.9140625,5.754891395568848,0.7912591695785522,0.003948049154132605
MultiscaleSpectralLossL1,Lightning_GVQ_VAE_codebook_loss,0.25,128.0,512.0,,1.0,120439.3125,2.340529441833496,3267200.5,2077496.75,95562.4765625,3.1125693321228027,1253959.125,797072.5,95581.90625,3.1127965450286865,939998.625,597577.0
MultiscaleSpectralLossL1,Lightning_GVQ_VAE_codebook_loss,0.25,16.0,512.0,,1.0,114744.3984375,2.4243991374969482,4613990.0,366521.53125,107318.5546875,1.565133810043335,133264024.0,10584240.0,109746.9765625,1.5456993579864502,144358592.0,11465403.0
MultiscaleSpectralLossL1,Lightning_GVQ_VAE_codebook_loss,0.25,2.0,512.0,,1.0,168166.0625,2.1054317951202393,1612927.875,16018.439453125,97371.4375,3.2694551944732666,3646201.75,36206.03515625,96681.5859375,3.2261698246002197,4263545.0,42335.37109375
MultiscaleSpectralLossL1,Lightning_GVQ_VAE_codebook_loss,0.25,32.0,512.0,,1.0,141329.609375,1.779152750968933,5662835.0,899682.125,94460.015625,2.534830331802368,41419908.0,6579538.5,95587.9140625,2.5464391708374023,45942932.0,7297995.5
MultiscaleSpectralLossL1,Lightning_GVQ_VAE_codebook_loss,0.25,4.0,512.0,,1.0,103268.9296875,2.338322401046753,10165794.0,201918.90625,99490.9296875,2.3829920291900635,15329669.0,304404.34375,99870.96875,2.3885273933410645,14379321.0,285534.3125
MultiscaleSpectralLossL1,Lightning_GVQ_VAE_codebook_loss,0.25,64.0,512.0,,1.0,98310.6875,2.534902334213257,5122212.5,1628518.875,93150.328125,2.6122488975524902,12889656.0,4095434.75,92989.03125,2.620727300643921,11653983.0,3702861.5
MultiscaleSpectralLossL1,Lightning_GVQ_VAE_codebook_loss,0.25,8.0,512.0,,1.0,138082.5,1.9703352451324463,1079396.875,42901.765625,87604.4453125,2.810490846633911,9724477.0,386218.1875,88035.8046875,2.813230037689209,7247994.5,287875.53125
MultiscaleSpectralLossL1,Lightning_VQ_VAE_ema,0.25,1.0,1024.0,0.99,1.0,71327.859375,5.267978191375732,0.0003323881537653506,0.0,71547.3359375,5.277383804321289,0.00019980536308139563,0.0,71327.859375,5.267978191375732,0.0003323881537653506,0.0
